subcatchment,region,subcat_area,grid_index,grid_weight,x,y
SC #639,BM,78395400.0,129581,0.04745033301169313,152.75000000000006,-26.599999999999937
SC #639,BM,78395400.0,129582,0.15923077020000634,152.80000000000007,-26.599999999999937
SC #639,BM,78395400.0,129583,0.10039046345356954,152.85000000000008,-26.599999999999937
SC #639,BM,78395400.0,130372,0.0930325972856665,152.70000000000005,-26.549999999999958
SC #639,BM,78395400.0,130373,0.3331677010881313,152.75000000000006,-26.549999999999955
SC #639,BM,78395400.0,130374,0.23041654554405738,152.80000000000007,-26.549999999999958
SC #639,BM,78395400.0,131165,0.019089892269899805,152.75000000000006,-26.49999999999997
SC #148,BM,80713800.0,127187,0.07998444525783346,151.95000000000005,-26.74999999999997
SC #148,BM,80713800.0,127188,0.04355206272702667,152.00000000000003,-26.749999999999968
SC #148,BM,80713800.0,127979,0.19550971488229002,151.95000000000005,-26.69999999999996
SC #148,BM,80713800.0,127980,0.3036348034994173,152.00000000000003,-26.69999999999996
SC #148,BM,80713800.0,127981,0.021093728262800687,152.05000000000007,-26.69999999999996
SC #148,BM,80713800.0,128772,0.07086891264100333,151.95000000000005,-26.64999999999995
SC #148,BM,80713800.0,128773,0.19081169444740181,152.00000000000003,-26.649999999999952
SC #148,BM,80713800.0,128774,0.0945446382822267,152.05000000000007,-26.64999999999995
SC #611,BM,70358400.0,126392,0.0001236696367393618,151.75000000000003,-26.799999999999955
SC #611,BM,70358400.0,127182,0.07533030135744746,151.70000000000005,-26.74999999999997
SC #611,BM,70358400.0,127183,0.2966895285377637,151.75000000000006,-26.749999999999968
SC #611,BM,70358400.0,127184,0.19588594320078073,151.80000000000007,-26.74999999999997
SC #611,BM,70358400.0,127975,0.11503294602420794,151.75000000000006,-26.69999999999996
SC #611,BM,70358400.0,127976,0.2898062271233192,151.80000000000007,-26.69999999999996
SC #611,BM,70358400.0,127977,0.0022152052075000653,151.85000000000008,-26.69999999999996
SC #611,BM,70358400.0,128769,0.024613679049962672,151.80000000000007,-26.64999999999995
SC #611,BM,70358400.0,128770,0.0003024998622788723,151.85000000000008,-26.649999999999952
